id	kosha_layer	kosha_english	kosha_domain	sub_category	scenario	intensity	trigger_type	recommended_technique	student_profile_tag	context_notes
210	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Anxiety	Anxiety about making the right career choice paralyzing all decisions	High	Chronic	Vijnanamaya values clarity + Decisional counseling	Engineering_Final_Year	Decision paralysis; career identity crisis
211	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Anxiety	Performance anxiety before every coding interview round	High	Acute	Pre-interview ritual + Breath + Positive self-talk protocol	Engineering_Final_Year	Technical interview anxiety; learned helplessness risk
212	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Anxiety	Anxiety triggered by professor's unpredictable moods in lab	Medium	Social	External locus coaching + Manomaya stability anchors	Science_3rd_Year	Authority unpredictability anxiety
213	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Anxiety	Free-floating anxiety with no identifiable trigger	High	Chronic	GAD psychoeducation + Pranamaya + Clinical referral	All_Students	Free-floating anxiety; GAD screening
214	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Anxiety	Separation anxiety from family when moving to hostel first time	High	Acute	Attachment psychoeducation + Metta for family + Grounding	Engineering_1st_Year	Transition anxiety; first hostel experience
215	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Depression	Persistent sadness for over 2 weeks with no clear cause	High	Chronic	Depression PFA + Behavioral activation + Urgent counseling	Arts_2nd_Year	MDD screening; 2-week threshold reached
216	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Depression	Crying without knowing why while studying alone at night	High	Chronic	Validation + Manomaya support + Clinical referral	Arts_1st_Year	Undifferentiated depression; emotional flooding
217	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Depression	Loss of interest in hobbies that used to bring joy	High	Chronic	Anhedonia protocol + Pranamaya + Activity scheduling	Engineering_3rd_Year	Core MDD symptom; priority intervention
218	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Depression	Feeling worthless after consecutive academic failures	High	Chronic	Self-worth decoupling from grades + Vijnanamaya + Counseling	Engineering_2nd_Year	Performance-linked self-worth collapse
219	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Depression	Hopelessness about future job prospects in chosen field	High	Chronic	Hope cultivation + Vijnanamaya purpose + Career counseling	Engineering_Final_Year	Hopelessness; depression risk factor
220	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Depression	Emotional numbness making it hard to feel anything	High	Chronic	Manomaya reactivation + Somatic work + Clinical referral	Arts_2nd_Year	Emotional blunting; possible dissociation or MDD
221	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Depression	Wishing to disappear but without active suicidal intent	High	Chronic	Safety planning + Immediate clinical referral + Crisis protocol	Engineering_3rd_Year	Passive suicidal ideation; CRITICAL â€” escalate
222	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Depression	Feeling like a burden to family causing withdrawal	High	Chronic	Burdensomeness cognitive work + PFA + Safety assessment	Engineering_2nd_Year	Interpersonal burden belief; Joiner's theory risk
223	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Depression	Grey days with no color or feeling for weeks on end	High	Chronic	Anandamaya + Manomaya + Clinical depression management	Any_Student	Pervasive anhedonia; long-duration red flag
224	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Depression	Unable to imagine any positive future scenario	High	Chronic	Future-self visualization + Hope therapy + Clinical referral	Engineering_Final_Year	Hopelessness scale high; clinical urgency
225	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Anger & Frustration	Explosive anger at small triggers after weeks of suppressed stress	High	Chronic	Anger discharge safely + Manomaya emotional processing	Engineering_3rd_Year	Frustration overflow; anger as secondary emotion
226	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Anger & Frustration	Rage toward professor who publicly embarrassed student	High	Acute	Anger validation + Dignified response planning + PFA	Engineering_2nd_Year	Righteous anger; needs safe expression
227	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Anger & Frustration	Seething anger at unfair grading but afraid to speak up	Medium	Chronic	Assertiveness training + Anger processing + Manomaya	Science_3rd_Year	Suppressed anger; fear of authority
228	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Anger & Frustration	Irritability at everyone around without knowing why	Medium	Chronic	Underlying depression check + Manomaya audit + PFA	Engineering_2nd_Year	Irritability as depression variant
229	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Anger & Frustration	Passive-aggressive behavior toward groupmates causing conflict	Medium	Social	Assertiveness + Anger awareness + Manomaya communication	Engineering_3rd_Year	Indirect anger expression; assertiveness deficit
230	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Grief & Loss	Grief after losing a grandparent during exam season	High	Acute	Grief PFA + Dual-process model + Exam deferral guidance	Any_Student	Bereavement during high-pressure period
231	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Grief & Loss	Mourning the social life lost after shifting to a different hostel	Medium	Chronic	Transition grief + Social rebuilding + Manomaya support	Engineering_2nd_Year	Relocation grief; social network disruption
232	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Grief & Loss	Sadness after a pet died back home and being unable to attend	High	Acute	Pet grief validation + Manomaya support + Connection ritual	Any_Student	Disenfranchised grief; validate fully
233	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Grief & Loss	Grief over a failed relationship that consumed 2 years of college	High	Acute	Relationship grief PFA + Manomaya processing + Self-compassion	Engineering_3rd_Year	Romantic grief; identity recovery needed
234	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Grief & Loss	Missing home intensely during first Diwali away at hostel	High	Acute	Cultural grief + Metta toward family + Ritual creation	Engineering_1st_Year	Festival homesickness; acute grief spike
235	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Loneliness & Isolation	Surrounded by 300 people but feeling completely alone in college	High	Chronic	Manomaya loneliness work + Social anxiety PFA + Metta	Engineering_1st_Year	Existential loneliness; social skill deficit
236	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Loneliness & Isolation	No one to call when feeling bad at 2 AM	High	Chronic	Crisis contact list + Manomaya support + Peer program referral	Engineering_2nd_Year	Social isolation at crisis point; safety concern
237	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Loneliness & Isolation	Feeling excluded from friend groups who all seem to have found their people	High	Chronic	Belonging PFA + Social skills coaching + Manomaya	Engineering_1st_Year	Belonging deficit; group exclusion perception
238	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Loneliness & Isolation	Being the only one from home state in the entire department	Medium	Social	Cultural identity bridging + Diaspora support + Metta	Engineering_1st_Year	Cultural isolation; minority experience
239	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Loneliness & Isolation	Friends all busy with internships leaving one person behind	Medium	Social	FOMO coaching + Manomaya + Self-directed summer planning	Engineering_3rd_Year	Social comparison loneliness
240	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Rumination & Overthinking	Replaying embarrassing moment in class on loop for days	High	Chronic	Thought stopping + Manomaya defusion + Self-compassion	Engineering_1st_Year	Embarrassment rumination; social anxiety driver
241	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Rumination & Overthinking	Overthinking every message sent to a professor for hours	Medium	Chronic	Cognitive checking pattern + Manomaya + OCD screening	Engineering_2nd_Year	Reassurance-seeking rumination; OCD spectrum
242	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Rumination & Overthinking	Cannot stop analyzing what went wrong in a failed interview	High	Acute	Post-event processing PFA + Vijnanamaya learning reframe	Engineering_Final_Year	Post-interview rumination; self-flagellation
243	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Rumination & Overthinking	Spending 2 hours rewriting a single email before sending	Medium	Chronic	Perfectionism + Manomaya + OCD screening + Time box	Engineering_3rd_Year	Perfectionism-driven rumination
244	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Rumination & Overthinking	Mind going over every scenario of an upcoming confrontation	High	Acute	Worry postponement + Manomaya grounding + Pranayama	Engineering_2nd_Year	Anticipatory rumination; catastrophizing
245	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Fear & Phobias	Fear of needles making health check-ups impossible	Medium	Environmental	Needle phobia desensitization + Grounding + Pranayama	Any_Student	Specific phobia; needle avoidance affecting health
246	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Fear & Phobias	Intense fear of the dark in hostel when power cuts happen	Medium	Environmental	Darkness fear + Grounding + Light anchoring + Psychoeducation	Engineering_1st_Year	Nyctophobia; dormitory vulnerability
247	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Fear & Phobias	Fear of public speaking so severe it risks academic failure	High	Chronic	Speech anxiety hierarchy + Pranayama + Gradual exposure	Engineering_2nd_Year	Glossophobia; academic impact critical
248	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Fear & Phobias	Fear of failure so paralyzing that assignments go unsubmitted	High	Chronic	Atychiphobia + Manomaya courage work + Procrastination PFA	Engineering_3rd_Year	Fear-driven procrastination; failure avoidance
249	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Mood Instability	Mood swings from high to low within the same day unpredictably	High	Chronic	Mood tracking + Manomaya regulation + Clinical screening	Arts_2nd_Year	Mood lability; bipolar or BPD screening
250	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Mood Instability	Emotional explosiveness that scares roommates and damages friendships	High	Chronic	DBT emotion regulation intro + Clinical referral + Safety	Any_Student	BPD traits; needs clinical management
251	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Mood Instability	Feeling on top of the world one week then crashing the next	High	Chronic	Cyclothymia screening + Mood chart + Clinical referral	Engineering_2nd_Year	Cyclical mood pattern; clinical screening
252	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Mood Instability	PMS-related mood disruption affecting academic performance monthly	Medium	Chronic	Menstrual cycle tracking + Manomaya self-compassion + Support	Female_Students	PMDD possibility; hormonal and emotional overlap
253	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Mood Instability	Euphoric high after good results followed by severe emptiness	High	Acute	Emotional regulation + Manomaya steadiness practices	Engineering_3rd_Year	Emotional contrasts post-achievement; destabilizing
254	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Trauma Responses	Flashbacks to school bullying triggered by a professor's harsh words	High	Acute	Trauma PFA + Grounding + Trauma-informed clinical referral	Engineering_1st_Year	PTSD reactivation; needs clinical trauma work
255	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Trauma Responses	Sexual harassment on campus causing hypervigilance in college spaces	High	Acute	Safety planning + Trauma PFA + Clinical + Legal guidance	Any_Student	Sexual trauma; multi-system support needed
256	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Trauma Responses	Childhood emotional neglect patterns reactivated by cold professors	High	Chronic	Attachment trauma PFA + Manomaya inner-child work	Engineering_2nd_Year	Complex trauma; schema-level work
257	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Trauma Responses	Witnessing a road accident causing hyperarousal for weeks	High	Acute	Acute stress response PFA + Grounding + Clinical referral	Any_Student	Acute PTSD; witness trauma
258	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Trauma Responses	Emotional shutdown when touched unexpectedly due to past abuse	High	Chronic	Trauma-informed Pranamaya + Somatic safety work + Clinical	Any_Student	Touch trauma; somatic dissociation
307	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Identity & Purpose	No clarity on why engineering was chosen; following parental pressure	High	Chronic	Svadhyaya self-inquiry + Values clarification + Career counseling	Engineering_1st_Year	Externally chosen career path; identity confusion
308	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Identity & Purpose	Feeling like an imposter despite consistently good grades	High	Chronic	Imposter syndrome PFA + Vijnanamaya evidence-mapping	Engineering_3rd_Year	Imposter syndrome; high-achiever pattern
309	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Identity & Purpose	Questioning if science is the right field after failing one module	High	Acute	Single-event overgeneralization + Vijnanamaya reframe	Science_2nd_Year	Identity threat from one failure
310	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Identity & Purpose	Lost sense of self after breaking up with long-term partner	High	Acute	Identity PFA + Svadhyaya + Self-reconstruction coaching	Engineering_3rd_Year	Enmeshed identity loss; relationship dissolution
311	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Identity & Purpose	Feeling like a different person since coming to college (not sure if good)	Medium	Chronic	Identity flux normalization + Vijnanamaya exploration	Engineering_1st_Year	Normal college identity development; needs validation
312	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Identity & Purpose	Religious identity conflicting with college peer culture	High	Chronic	Values integration + Vijnanamaya pluralism + Acceptance	Any_Student	Cultural-religious identity conflict
313	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Identity & Purpose	First-generation college student feeling out of place	High	Chronic	First-gen coaching + Vijnanamaya pride + Social capital	Engineering_1st_Year	First-gen identity stress; navigating hidden curriculum
314	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Identity & Purpose	Gender identity questions emerging in college without safe space	High	Chronic	LGBTQ+ affirming PFA + Vijnanamaya identity support + Referral	Any_Student	Gender identity exploration; needs safe affirming space
315	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Identity & Purpose	No answer to 'what kind of engineer do I want to be' even in final year	High	Chronic	Career identity + Vijnanamaya + Informational interviews	Engineering_Final_Year	Career identity not formed by final year
316	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Identity & Purpose	Feeling robotic going through academic motions without meaning	High	Chronic	Existential PFA + Anandamaya meaning-making + Svadhyaya	Engineering_3rd_Year	Existential vacuum; Frankl-ian work
317	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Decision Making	Paralyzed by choice between two internship offers for days	High	Acute	Decisional balance + Vijnanamaya clarity + Time-boxing decision	Engineering_Final_Year	Decision paralysis; maximizer pattern
318	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Decision Making	Unable to decide whether to drop a semester for mental health	High	Acute	Compassionate decision framework + Clinical + Academic counseling	Engineering_3rd_Year	High-stakes academic decision under distress
319	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Decision Making	Changing majors vs staying out of fear of letting parents down	High	Chronic	Values vs fear mapping + Vijnanamaya + Family systems work	Engineering_2nd_Year	Parental expectation vs authentic path conflict
320	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Decision Making	Regret about not taking a gap year spiraling into self-blame	Medium	Chronic	Decision compassion + Vijnanamaya acceptance + Reframe	Engineering_1st_Year	Decision regret rumination; self-blame loop
321	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Decision Making	Choosing between campus placement and higher studies feels impossible	High	Chronic	Career values + Vijnanamaya + Informational interviewing	Engineering_Final_Year	Career decision overload; common final-year stressor
322	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Critical Thinking Blocks	Catastrophizing every small mistake as proof of incompetence	High	Chronic	Cognitive distortion work + Vijnanamaya balanced thinking	Engineering_2nd_Year	Catastrophizing; negative self-schema
323	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Critical Thinking Blocks	All-or-nothing thinking: if not first rank, consider self a failure	High	Chronic	Black-white thinking + Vijnanamaya continuum work	Engineering_1st_Year	Perfectionism + dichotomous thinking
324	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Critical Thinking Blocks	Confirmation bias â€” only noticing evidence that one is stupid	High	Chronic	Evidence-gathering + Vijnanamaya epistemics + CBT	Engineering_3rd_Year	Negative filtering; schema-driven attention
325	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Critical Thinking Blocks	Mind-reading â€” convinced professor hates student without evidence	Medium	Chronic	Mind-reading pattern + Vijnanamaya reality-testing	Science_2nd_Year	Attributional bias; paranoid ideation lite
326	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Critical Thinking Blocks	Fortune-telling â€” convinced placement season will end in rejection	High	Chronic	Future-telling pattern + Vijnanamaya uncertainty tolerance	Engineering_Final_Year	Anticipatory failure; placement anxiety
327	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Values Conflict	Academic system pushing for grades while student values learning	Medium	Chronic	Values integration + Vijnanamaya + Meaning-based study	Engineering_2nd_Year	Intrinsic vs extrinsic motivation conflict
328	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Values Conflict	Having to cheat in exam due to group pressure against own values	High	Acute	Moral distress PFA + Vijnanamaya integrity + Safe debriefing	Engineering_2nd_Year	Integrity violation under social pressure
329	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Values Conflict	Environmental values conflicting with being pushed into petroleum engineering	High	Chronic	Values-career alignment + Vijnanamaya purpose + Advocacy	Engineering_2nd_Year	Environmental ethics-career conflict
330	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Values Conflict	Pressured to take corporate job despite wanting to do social work	High	Chronic	Values clarification + Vijnanamaya courage + Family PFA	Engineering_Final_Year	Authentic path vs family expectation
331	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Values Conflict	Disagreeing with discriminatory college policy but afraid to speak up	High	Social	Moral courage + Vijnanamaya ethics + Collective action guidance	Any_Student	Moral injury in institutional context
332	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Self-Awareness Deficit	Not knowing what one is feeling; emotional alexithymia	High	Chronic	Emotion identification coaching + Manomaya + Vijnanamaya	Engineering_3rd_Year	Alexithymia; emotion literacy work needed
333	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Self-Awareness Deficit	Repeating the same mistakes in relationships without noticing patterns	Medium	Chronic	Pattern awareness + Vijnanamaya self-study + Counseling	Engineering_3rd_Year	Relational blind spots; Svadhyaya needed
334	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Self-Awareness Deficit	Unaware that behavior is pushing friends away until too late	High	Chronic	Interpersonal effectiveness + Vijnanamaya feedback integration	Arts_2nd_Year	Social impact blindness; DBT skills needed
335	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Self-Awareness Deficit	Assuming stress is normal and ignoring mental health red flags	High	Chronic	Mental health literacy + Vijnanamaya self-honesty + Psychoed.	Engineering_2nd_Year	Help-seeking barrier; normalization of distress
336	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Self-Awareness Deficit	Not recognizing anxiety as anxiety; calling it 'just stress'	Medium	Chronic	Anxiety psychoeducation + Vijnanamaya label + Referral	Engineering_1st_Year	Anxiety misidentification; help-seeking gap
337	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Academic Integrity	Guilt spiral after submitting a plagiarized assignment under pressure	High	Acute	Moral distress PFA + Vijnanamaya repair + Integrity coaching	Engineering_3rd_Year	Post-transgression guilt; shame vs guilt work
338	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Academic Integrity	Rationalizing academic dishonesty with 'everyone does it'	Medium	Chronic	Moral disengagement + Vijnanamaya integrity + Ethics	Engineering_2nd_Year	Moral disengagement mechanism; address systematically
339	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Academic Integrity	Feeling trapped between peer pressure to share answers and own values	High	Social	Peer pressure PFA + Vijnanamaya values + Assertiveness	Engineering_1st_Year	Integrity under social coercion
340	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Academic Integrity	Deep shame after being caught cheating affecting all motivation	High	Acute	Shame PFA + Vijnanamaya reintegration + Counseling	Engineering_2nd_Year	Post-dishonesty shame spiral; fragile self-esteem
341	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Academic Integrity	Internal conflict over receiving unfair advantage due to family connections	Medium	Chronic	Privilege awareness + Vijnanamaya fairness + Svadhyaya	Engineering_2nd_Year	Privilege guilt; moral development work
342	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Cognitive Fatigue	Brain fog so thick that reading the same line 10 times is required	High	Chronic	Cognitive load reduction + Pranamaya rest + Pomodoro	Engineering_3rd_Year	Cognitive fatigue; possibly burnout or MDD
343	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Cognitive Fatigue	Forgetting things taught just yesterday, memory seeming to fail	High	Chronic	Memory + stress link + Pranamaya + Medical check	Engineering_2nd_Year	Stress-induced memory impairment
344	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Cognitive Fatigue	Unable to concentrate for more than 5 minutes on anything	High	Chronic	ADHD screening + Vijnanamaya focus training + Environment	Engineering_2nd_Year	Attention dysfunction; ADHD or burnout
345	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Cognitive Fatigue	Ideas evaporating before they can be written down	Medium	Chronic	Working memory coaching + Voice memos + Pranamaya + Rest	Engineering_3rd_Year	Executive function stress impairment
346	Vijnanamaya Kosha	Intellect/Wisdom Body	Intellect, discernment, self-awareness, values, decision-making	Cognitive Fatigue	Overthinking consuming all cognitive bandwidth leaving nothing for studying	High	Chronic	Cognitive bandwidth coaching + Thought scheduling + Vijnanamaya	Engineering_3rd_Year	Rumination depleting cognitive resources
409	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Loss of Meaning	Completing every academic milestone but feeling empty inside	High	Chronic	Anandamaya meaning-making + Frankl's logotherapy + Svadhyaya	Engineering_Final_Year	Achievement-meaning disconnect; existential vacuum
410	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Loss of Meaning	Asking 'what's the point' after scoring highest mark in class	High	Chronic	Existential PFA + Anandamaya purpose exploration	Engineering_3rd_Year	Hedonic adaptation; achievement without fulfillment
411	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Loss of Meaning	Studying only to survive not to thrive; pure survival mode	High	Chronic	Anandamaya vitality re-ignition + Values + Purpose coaching	Engineering_2nd_Year	Subsistence-level motivation; existential depression
412	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Loss of Meaning	Forgetting why one started this journey in the first place	High	Chronic	Origin story revisit + Anandamaya reconnect + Svadhyaya	Engineering_3rd_Year	Loss of foundational motivation; purpose drift
413	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Loss of Meaning	Feeling that nothing done in college will matter in the long run	High	Chronic	Nihilism PFA + Anandamaya connection + Legacy framing	Engineering_2nd_Year	Academic nihilism; needs meaning reframe
414	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Loss of Meaning	No creative spark left; everything feels mechanical and grey	High	Chronic	Anandamaya creative re-awakening + Manomaya support	Arts_3rd_Year	Creative anhedonia; burnout in creative student
415	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Loss of Meaning	Questioning the purpose of education after seeing inequality in placements	High	Chronic	Social justice meaning + Anandamaya purpose + Advocacy framing	Engineering_Final_Year	Systemic disillusionment; justice-meaning crisis
416	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Loss of Meaning	Looking at graduating seniors and feeling dread not excitement	High	Acute	Transition anxiety + Anandamaya future orientation + PFA	Engineering_3rd_Year	Anticipatory existential dread of graduation
417	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Loss of Meaning	Feeling invisible and as if contribution to college life means nothing	High	Chronic	Social significance PFA + Anandamaya contribution reframe	Engineering_2nd_Year	Insignificance belief; needs contribution tracking
418	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Loss of Meaning	Numbness toward everything previously held sacred or important	High	Chronic	Anandamaya depth work + Clinical referral + Manomaya support	Arts_2nd_Year	Values numbness; possible depression or dissociation
419	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Spiritual Disconnection	Feeling cut off from spiritual practice since moving to college	Medium	Chronic	Portable spirituality coaching + Anandamaya reconnect	Engineering_1st_Year	Spiritual uprooting on transition to campus
420	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Spiritual Disconnection	Prayer or meditation that once helped now feeling hollow and rote	High	Chronic	Spiritual dryness PFA + Anandamaya practice refresh	Any_Student	Spiritual anhedonia; deepen or adapt practice
421	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Spiritual Disconnection	Peer ridicule for spiritual beliefs causing hiding of practices	Medium	Social	Spiritual identity protection + Anandamaya courage + Metta	Any_Student	Spiritual shame under secular peer pressure
422	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Spiritual Disconnection	Questions about God arising after loss, feeling abandoned	High	Acute	Spiritual crisis PFA + Chaplain referral + Anandamaya support	Any_Student	Grief-triggered faith crisis; theodicy work
423	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Spiritual Disconnection	Uncertainty whether childhood religious values still hold true	Medium	Chronic	Values re-examination + Anandamaya exploration + Acceptance	Engineering_1st_Year	Normal faith development; needs guided exploration
424	Anandamaya Kosha	Bliss/Causal Body	Joy, meaning, purpose, spiritual connection, transcendence	Joy Deficit	Cannot remember the last time genuine laughter happened	High	Chronic	Joy prescription + Anandamaya activation + Depression screen	Engineering_3rd_Year	Joylessness; core depression symptom
